Employee ID,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,D-Flag
E02051,Chloe Chin,Test Engineer,Marketing,Corporate,Female,Latino,54,2/5/2022,"$48,523 ",0%,Brazil,Phoenix,1
E02052,Ella Martinez,Sr. Manager,Marketing,Research & Development,Male,Caucasian,31,11/13/2021,"$70,946 ",10%,United States,Rio de Janeiro,1
E02053,Gianna Jones,Analyst,Finance,Specialty Products,Male,Asian,47,4/6/2012,"$134,487 ",0%,China,Austin,1
E02054,Austin Chow,Sr. Analyst,Finance,Specialty Products,Female,Asian,26,9/26/1998,"$76,111 ",9%,United States,Shanghai,1
E02055,Ella Chen,Sr. Manager,Accounting,Research & Development,Female,Latino,62,4/11/2021,"$119,220 ",32%,United States,Seattle,1
E02056,Ruby Kaur,Sr. Analyst,Accounting,Research & Development,Female,Caucasian,35,11/10/2005,"$180,858 ",8%,United States,Chicago,1
E02057,Savannah Morales,Manager,Accounting,Manufacturing,Male,Asian,48,6/26/2021,"$114,072 ",0%,China,Columbus,1
E02058,Luca Powell,Vice President,Engineering,Specialty Products,Female,Asian,35,1/26/2005,"$91,672 ",0%,United States,Chongqing,1
E02059,Parker Thao,Manager,Marketing,Research & Development,Female,Asian,45,12/18/2016,"$71,542 ",0%,China,Phoenix,1
E02060,Ryan Vo,Test Engineer,IT,Corporate,Female,Latino,26,5/8/2011,"$54,700 ",0%,United States,Beijing,1
E02061,Isabella Ngo,Analyst II,Sales,Specialty Products,Male,Caucasian,48,4/12/2011,"$65,022 ",0%,United States,Chicago,1
E02062,Leah Vega,IT Coordinator,IT,Corporate,Male,Asian,33,1/1/2022,"$65,109 ",9%,China,Miami,1
E02063,Jaxson Liu,Analyst II,Accounting,Research & Development,Male,Asian,55,6/7/2018,"$126,598 ",0%,United States,Chongqing,1
E02064,Santiago f Ross,Cloud Infrastructure Architect,IT,Specialty Products,Female,Asian,38,5/18/2021,"$72,388 ",36%,United States,Phoenix,1
E02065,Layla Bell,Manager,Finance,Corporate,Female,Latino,49,12/13/2012,"$205,216 ",0%,United States,Miami,1
E02066,Bella Morales,Cloud Infrastructure Architect,IT,Corporate,Male,Asian,52,7/26/2001,"$74,004 ",31%,United States,Miami,1
E02067,Eliza Kang,Vice President,Engineering,Specialty Products,Male,Caucasian,27,5/10/2016,"$203,030 ",24%,United States,Chicago,1
E02068,Gabriel Reyes,Enterprise Architect,Sales,Corporate,Female,Caucasian,34,1/27/2002,"$194,864 ",5%,United States,Columbus,1
E02069,Piper Garcia,Vice President,IT,Specialty Products,Female,Latino,65,6/10/2005,"$76,659 ",8%,United States,Chicago,1
E02070,Jacob Cheng,Director,Sales,Manufacturing,Female,Asian,38,11/24/1993,"$101,630 ",12%,United States,Austin,1
E02071,Nathan Hong,Computer Systems Manager,Sales,Corporate,Male,Latino,63,11/26/1999,"$126,929 ",17%,Brazil,Phoenix,1
E02072,Chloe Kim,Manager,Sales,Research & Development,Female,Latino,42,10/2/2019,"$155,890 ",17%,Brazil,Sao Paulo,1
E02073,Isaac Guzman,Sr. Manager,Finance,Manufacturing,Male,Asian,60,7/6/2012,"$150,631 ",0%,United States,Sao Paulo,1
E02074,Julian Ford,Director,Sales,Corporate,Male,Asian,47,8/18/2010,"$72,850 ",0%,United States,Columbus,1
E02075,Kinsley Liang,Director,Sales,Specialty Products,Female,Asian,50,7/29/2010,"$57,951 ",0%,United States,Phoenix,1
E02076,Wesley Yu,Sr. Analyst,Sales,Corporate,Male,Latino,39,8/25/2008,"$70,340 ",0%,United States,Miami,1
E02077,Serenity Martin,Account Representative,Engineering,Manufacturing,Male,Caucasian,46,9/24/2003,"$98,221 ",12%,United States,Phoenix,1
E02078,Ethan Sanchez,Analyst II,Sales,Manufacturing,Female,Asian,50,5/16/2021,"$127,175 ",0%,China,Miami,1
E02079,David Sanchez,Automation Engineer,Finance,Specialty Products,Male,Asian,55,5/15/2019,"$97,542 ",0%,United States,Shanghai,1
E02080,Elias Hsu,Sr. Manager,Marketing,Manufacturing,Female,Black,43,7/5/2009,"$81,646 ",27%,United States,Seattle,1
E02081,Luca Phan,Sr. Analyst,Sales,Research & Development,Male,Latino,26,1/23/2022,"$182,055 ",0%,United States,Phoenix,1
E02082,Olivia Xi,Sr. Analyst,Marketing,Specialty Products,Male,Latino,34,6/17/2015,"$86,777 ",9%,Brazil,Phoenix,1
E02083,Alice Luu,Director,Marketing,Specialty Products,Male,Asian,38,8/19/2020,"$129,949 ",6%,China,Rio de Janeiro,1
E02084,Leonardo Ng,Sr. Analyst,Sales,Corporate,Male,Asian,35,7/17/1993,"$124,535 ",0%,China,Chengdu,1
E02085,Peyton Edwards,Manager,IT,Specialty Products,Female,Asian,39,6/10/2019,"$81,083 ",0%,United States,Beijing,1
E02086,Axel Patel,Manager,Marketing,Research & Development,Female,Asian,26,7/11/2020,"$57,727 ",0%,United States,Chicago,1
E02087,Eva Chavez,System Administrator ,Finance,Corporate,Male,Asian,60,9/13/2022,"$59,344 ",0%,China,Columbus,1
E02088,Savannah Lee,Analyst,Sales,Manufacturing,Female,Caucasian,32,1/17/2004,"$73,203 ",0%,United States,Chengdu,1
E02089,Mia Grant,Analyst II,IT,Research & Development,Male,Asian,65,7/22/2020,"$83,070 ",10%,United States,Columbus,1
E02090,Eli Richardson,Sr. Analyst,Human Resources,Specialty Products,Female,Latino,27,2/16/2007,"$104,008 ",0%,Brazil,Miami,1
E02091,Eloise Perry,IT Systems Architect,IT,Research & Development,Female,Asian,63,4/8/2018,"$70,923 ",14%,China,Sao Paulo,1
E02092,Ian Cheng,Manager,Marketing,Corporate,Female,Caucasian,51,12/2/2020,"$159,121 ",0%,United States,Beijing,1
E02093,Penelope Chan,Solutions Architect,Human Resources,Specialty Products,Male,Black,43,8/30/2015,"$88,921 ",14%,United States,Columbus,1
E02094,Sofia Vasquez,Sr. Manager,Sales,Research & Development,Female,Caucasian,31,5/20/2012,"$126,704 ",0%,United States,Phoenix,1
E02095,Anthony Baker,Sr. Business Partner,Accounting,Specialty Products,Male,Asian,26,7/29/1996,"$57,704 ",24%,United States,Chicago,1
E02096,Lucas Luong,Sr. Manager,Sales,Manufacturing,Female,Asian,46,6/3/2021,"$191,455 ",0%,China,Phoenix,1
E02097,Xavier Patel,Analyst II,IT,Research & Development,Female,Latino,59,3/12/2008,"$99,937 ",0%,Brazil,Shanghai,1
E02098,Robert Soto,Director,Marketing,Manufacturing,Male,Caucasian,52,11/16/2021,"$40,778 ",16%,United States,Sao Paulo,1
E02099,Nevaeh Jiang,Solutions Architect,Marketing,Specialty Products,Male,Asian,31,9/10/2008,"$187,740 ",0%,China,Phoenix,1
E02100,Chloe Reyes,Analyst,Human Resources,Specialty Products,Male,Asian,42,8/5/2016,"$72,384 ",12%,United States,Chengdu,1
E02101,Lucy Edwards,Director,Marketing,Research & Development,Male,Latino,53,6/18/2008,"$143,318 ",17%,Brazil,Columbus,1
E02102,Luna Edwards,HRIS Analyst,Human Resources,Corporate,Female,Asian,47,3/16/2015,"$191,304 ",21%,China,Rio de Janeiro,1
E02103,Stella Daniels,Sr. Manager,Human Resources,Specialty Products,Female,Latino,45,4/13/2014,"$175,875 ",9%,United States,Chengdu,1
E02104,Ayla Ma,Director,Sales,Specialty Products,Female,Black,45,10/30/2011,"$106,726 ",0%,United States,Phoenix,1
E02105,Matthew Avila,Director,IT,Research & Development,Female,Black,33,12/5/2022,"$72,637 ",7%,United States,Columbus,1
E02106,Gianna Lim,Manager,Marketing,Manufacturing,Female,Black,42,6/17/2003,"$118,304 ",8%,United States,Seattle,1
E02107,Joseph Tan,Cloud Infrastructure Architect,IT,Corporate,Female,Asian,37,4/1/2006,"$68,592 ",0%,China,Columbus,1
E02108,Connor Lai,Manager,Accounting,Manufacturing,Male,Latino,27,8/20/2015,"$42,532 ",0%,Brazil,Shanghai,1
E02109,Ava Owens,Computer Systems Manager,IT,Research & Development,Female,Asian,55,9/22/2019,"$65,073 ",12%,China,Sao Paulo,1
E02110,Dylan Aguilar,Analyst,Engineering,Research & Development,Male,Asian,46,2/7/2020,"$111,035 ",0%,China,Chongqing,1
E02111,Leah Zheng,Technical Architect,Finance,Corporate,Male,Asian,37,3/27/2007,"$63,066 ",27%,United States,Shanghai,1
E02112,Jade Pham,Engineering Manager,Engineering,Specialty Products,Female,Caucasian,32,6/18/2016,"$186,192 ",23%,United States,Chicago,1
E02113,Theodore Bui,Analyst II,Engineering,Corporate,Male,Latino,28,12/12/2017,"$182,938 ",0%,Brazil,Seattle,1
E02114,Asher Chan,Director,Accounting,Corporate,Female,Asian,49,5/13/2012,"$53,931 ",38%,China,Sao Paulo,1
E02115,Ezekiel Brown,Director,Sales,Manufacturing,Female,Asian,52,8/18/2018,"$252,140 ",0%,China,Chengdu,1
E02116,Peyton Allen,Analyst,Human Resources,Specialty Products,Male,Asian,61,3/14/2022,"$73,041 ",8%,China,Shanghai,1
E02117,Parker Joseph,Vice President,Finance,Corporate,Male,Asian,53,11/23/2020,"$120,315 ",5%,China,Beijing,1
E02118,Kayden Ortiz,Sr. Business Partner,Marketing,Corporate,Male,Caucasian,40,1/21/2000,"$112,264 ",0%,United States,Shanghai,1
E02119,Lillian Desai,Manager,IT,Specialty Products,Female,Caucasian,27,7/29/2013,"$55,039 ",15%,United States,Miami,1
E02120,Avery Gutierrez,Manager,Accounting,Specialty Products,Male,Caucasian,26,12/12/2022,"$134,782 ",0%,United States,Chicago,1
E02121,Caroline Sandoval,Systems Analyst,Engineering,Specialty Products,Male,Latino,53,7/2/2016,"$92,806 ",38%,Brazil,Seattle,1
E02122,Hailey Lim,Sr. Manager,Marketing,Manufacturing,Female,Asian,33,10/3/2013,"$181,028 ",0%,China,Manaus,1
E02123,Roman Liang,Field Engineer,Sales,Corporate,Female,Latino,27,1/6/2005,"$48,117 ",17%,United States,Chengdu,1
E02124,Elias Rojas,Vice President,Marketing,Corporate,Female,Latino,56,3/4/2021,"$192,753 ",0%,Brazil,Phoenix,1
E02125,Quinn Lai,Analyst,Sales,Corporate,Female,Asian,36,1/7/2018,"$85,206 ",0%,China,Sao Paulo,1
E02126,Clara Le,Director,Sales,Manufacturing,Male,Asian,47,8/28/2003,"$58,290 ",0%,China,Chongqing,1
E02127,Chloe Yoon,Sr. Analyst,IT,Manufacturing,Male,Latino,28,3/15/2021,"$41,946 ",0%,United States,Chongqing,1
E02128,Abigail Simmons,Account Representative,IT,Research & Development,Female,Asian,30,2/25/2002,"$79,388 ",0%,United States,Chicago,1
E02129,Ayla Espinoza,Systems Analyst,IT,Corporate,Female,Asian,58,4/24/2018,"$83,854 ",15%,China,Phoenix,1
E02130,Nova Lin,Service Desk Analyst,IT,Corporate,Female,Asian,56,10/1/1993,"$126,550 ",26%,United States,Beijing,1
E02131,Sadie Singh,Network Administrator,Human Resources,Specialty Products,Female,Caucasian,65,4/9/2019,"$199,705 ",32%,United States,Seattle,1
E02132,Aaron Powell,Sr. Manager,Sales,Research & Development,Female,Latino,29,3/16/2022,"$201,235 ",26%,Brazil,Miami,1
E02133,Jameson Vargas,Director,Engineering,Specialty Products,Female,Asian,60,9/11/2017,"$182,717 ",0%,United States,Rio de Janeiro,1
E02134,Logan Young,Vice President,IT,Specialty Products,Female,Asian,31,7/24/2011,"$79,975 ",20%,United States,Austin,1
E02135,Wyatt Cheung,Director,Human Resources,Research & Development,Male,Black,45,8/16/2010,"$196,554 ",33%,United States,Columbus,1
E02136,Lucas Zhu,Enterprise Architect,IT,Specialty Products,Male,Latino,30,7/25/2013,"$239,395 ",0%,Brazil,Chicago,1
E02137,Emily Hong,Director,Sales,Corporate,Male,Black,36,3/14/2011,"$53,703 ",8%,United States,Rio de Janeiro,1
E02138,Luke Ramos,Vice President,IT,Specialty Products,Male,Asian,39,1/9/2021,"$123,480 ",0%,China,Seattle,1
E02139,Maya Gupta,Analyst II,IT,Manufacturing,Male,Asian,44,7/28/2018,"$41,197 ",0%,China,Beijing,1
E02140,Eliana Ha,Manager,Sales,Specialty Products,Female,Asian,53,8/4/2019,"$72,463 ",0%,China,Beijing,1
E02141,Lillian Cheng,IT Coordinator,Engineering,Corporate,Male,Latino,46,12/15/2020,"$87,675 ",0%,Brazil,Beijing,1
E02142,Alexander Pena,Account Representative,Accounting,Corporate,Female,Asian,30,8/20/1996,"$55,833 ",0%,China,Manaus,1
E02143,Leonardo Mai,Field Engineer,Finance,Specialty Products,Female,Asian,28,5/24/2002,"$58,208 ",0%,China,Beijing,1
E02144,Jack Phillips,Analyst,Sales,Research & Development,Female,Asian,35,1/28/2007,"$75,633 ",0%,China,Chengdu,1
E02145,Scarlett Delgado,Analyst II,Marketing,Specialty Products,Male,Latino,58,7/27/2015,"$79,090 ",0%,United States,Chengdu,1
E02146,Jack Rogers,Sr. Analyst,Finance,Specialty Products,Male,Asian,47,8/28/2013,"$66,138 ",0%,China,Chicago,1
E02147,Violet Huynh,Sr. Analyst,IT,Manufacturing,Male,Black,43,2/1/2005,"$80,728 ",0%,United States,Chengdu,1
E02148,Victoria Park,Analyst II,IT,Research & Development,Female,Latino,47,2/29/2008,"$46,202 ",10%,Brazil,Phoenix,1
E02149,Elizabeth Rodriguez,Cloud Infrastructure Architect,Sales,Corporate,Male,Black,57,3/18/2020,"$123,096 ",0%,United States,Rio de Janeiro,1
E02150,Samuel Kumar,Systems Analyst,Marketing,Research & Development,Female,Asian,47,8/13/2021,"$45,989 ",13%,China,Phoenix,1
E02151,Zoe Maldonado,Manager,Accounting,Research & Development,Female,Asian,50,3/9/2009,"$140,756 ",0%,United States,Shanghai,1
E02152,Natalia Richardson,Analyst,IT,Corporate,Female,Latino,27,9/25/1998,"$85,261 ",34%,Brazil,Chicago,1
E02153,Madeline Contreras,Sr. Manager,Accounting,Corporate,Male,Asian,26,6/2/2017,"$198,222 ",10%,China,Sao Paulo,1
E02154,Raelynn Espinoza,Network Engineer,Sales,Corporate,Female,Latino,43,10/31/1995,"$150,825 ",0%,Brazil,Chengdu,1
E02155,Noah Rojas,Vice President,Accounting,Research & Development,Female,Caucasian,49,9/12/2002,"$59,311 ",0%,United States,Sao Paulo,1
E02156,Jack Ramos,Sr. Manager,Accounting,Corporate,Female,Latino,36,11/14/2019,"$44,411 ",0%,Brazil,Columbus,1
E02157,Riley King,Analyst,Finance,Corporate,Female,Latino,51,6/17/2018,"$69,408 ",0%,Brazil,Sao Paulo,1
E02158,Naomi Lee,Analyst,Finance,Manufacturing,Male,Latino,46,8/10/2013,"$96,759 ",15%,United States,Manaus,1
E02159,Caleb Jones,Analyst II,Marketing,Manufacturing,Male,Latino,37,4/15/2014,"$163,480 ",0%,Brazil,Chicago,1
E02160,Peyton Alvarado,Sr. Analyst,IT,Specialty Products,Female,Black,43,7/10/1996,"$91,132 ",8%,United States,Manaus,1
E02161,Luca Liu,Director,Marketing,Research & Development,Female,Asian,53,10/24/2015,"$122,825 ",0%,China,Columbus,1
E02162,Christian Johnson,System Administrator ,IT,Corporate,Male,Caucasian,58,6/22/2007,"$73,612 ",0%,United States,Beijing,1
E02163,Kinsley Gonzales,Manager,Sales,Manufacturing,Female,Latino,57,5/25/2008,"$70,561 ",0%,Brazil,Miami,1
E02164,Hunter Yoon,Service Desk Analyst,IT,Manufacturing,Male,Asian,31,5/5/2007,"$60,331 ",0%,China,Rio de Janeiro,1
E02165,Elias Dixon,Account Representative,IT,Research & Development,Male,Black,40,10/2/2020,"$48,772 ",0%,United States,Chongqing,1
E02166,Owen Guerrero,Network Architect,IT,Manufacturing,Female,Latino,47,11/22/2021,"$90,599 ",0%,Brazil,Miami,1
E02167,Lucas Lo,Systems Analyst,IT,Research & Development,Male,Asian,51,9/3/2022,"$55,643 ",0%,China,Rio de Janeiro,1
E02168,Hunter Mitchell,Network Administrator,Engineering,Corporate,Male,Caucasian,57,1/18/2004,"$97,938 ",0%,United States,Chongqing,1
E02169,Eliana Bailey,IT Coordinator,Accounting,Corporate,Male,Latino,46,4/17/2021,"$49,627 ",0%,United States,Columbus,1
E02170,Gabriella Choi,Field Engineer,IT,Research & Development,Male,Asian,40,1/2/2021,"$58,137 ",15%,China,Chicago,1
E02171,Evelyn Alvarado,Analyst,Sales,Research & Development,Male,Caucasian,43,8/15/1999,"$120,586 ",0%,United States,Beijing,1
E02172,Wyatt Chan,IT Coordinator,Accounting,Research & Development,Female,Black,54,8/12/2022,"$72,925 ",0%,United States,Columbus,1
E02173,Sarah Johnson,Sr. Manager,IT,Manufacturing,Female,Asian,27,6/28/2005,"$83,548 ",8%,United States,Seattle,1
E02174,Brooks Evans,Analyst II,Finance,Specialty Products,Female,Latino,56,3/6/2018,"$128,226 ",24%,United States,Seattle,1
E02175,Isaiah Dixon,Network Administrator,Engineering,Manufacturing,Male,Asian,36,5/4/2016,"$150,653 ",0%,China,Miami,1
E02176,Addison Lo,Manager,Sales,Research & Development,Female,Caucasian,53,2/27/2022,"$80,989 ",0%,United States,Shanghai,1
E02177,Nolan Howard,Director,Engineering,Specialty Products,Male,Caucasian,31,8/28/2020,"$74,901 ",0%,United States,Austin,1
E02178,Paisley Dominguez,Sr. Account Representative,IT,Corporate,Male,Caucasian,45,4/18/2022,"$68,712 ",0%,United States,Columbus,1
E02179,Eliana Ho,Development Engineer,Engineering,Research & Development,Female,Asian,29,6/14/2009,"$82,963 ",10%,United States,Austin,1
E02180,Charles Miller,Cloud Infrastructure Architect,Engineering,Research & Development,Male,Caucasian,27,9/5/2012,"$123,203 ",22%,United States,Columbus,1
E02181,Mia Jiang,Quality Engineer,Accounting,Research & Development,Female,Latino,26,6/7/2018,"$195,416 ",23%,United States,Austin,1
E02182,Skylar Parker,Engineering Manager,Marketing,Corporate,Female,Asian,53,6/19/2015,"$156,418 ",38%,China,Austin,1
E02183,Zoey Leung,Director,Accounting,Manufacturing,Male,Black,64,8/5/2018,"$255,892 ",0%,United States,Chengdu,1
E02184,Austin Moua,Director,IT,Manufacturing,Female,Asian,32,9/27/2007,"$96,195 ",0%,United States,Columbus,1
E02185,Christopher Robinson,Vice President,IT,Corporate,Female,Caucasian,42,5/27/2003,"$77,637 ",0%,United States,Miami,1
E02186,Jayden Zhang,Technical Architect,Engineering,Research & Development,Female,Asian,31,7/11/2016,"$79,294 ",31%,China,Phoenix,1
E02187,Cora Mejia,Network Administrator,Finance,Research & Development,Male,Asian,40,6/27/1994,"$254,287 ",0%,China,Chongqing,1
E02188,Julian Harris,Test Engineer,IT,Specialty Products,Male,Caucasian,46,6/7/2014,"$70,516 ",0%,United States,Chengdu,1
E02189,Anthony Espinoza,Vice President,Accounting,Specialty Products,Male,Asian,35,12/30/2015,"$98,296 ",0%,China,Austin,1
E02190,Aubrey Ruiz,Enterprise Architect,Engineering,Research & Development,Female,Latino,64,11/16/2020,"$98,565 ",0%,Brazil,Chengdu,1
E02191,Piper Tang,Sr. Analyst,Finance,Manufacturing,Male,Caucasian,58,1/11/2021,"$59,149 ",0%,United States,Manaus,1
E02192,Colton Delgado,Operations Engineer,Marketing,Manufacturing,Male,Latino,61,7/28/2011,"$70,126 ",33%,Brazil,Phoenix,1
E02193,Madeline Chung,Analyst II,Human Resources,Specialty Products,Female,Latino,41,10/22/2006,"$216,787 ",13%,Brazil,Rio de Janeiro,1
E02194,Ariana Sharma,Analyst II,Accounting,Manufacturing,Female,Asian,25,5/26/2011,"$156,512 ",0%,China,Sao Paulo,1
E02195,Julian Marquez,Vice President,Finance,Research & Development,Male,Latino,50,1/24/2014,"$44,444 ",34%,Brazil,Beijing,1
E02196,Logan Reyes,Sr. Manager,Sales,Research & Development,Female,Asian,61,9/14/2013,"$257,725 ",11%,United States,Rio de Janeiro,1
E02197,Penelope Mai,Analyst,Accounting,Research & Development,Female,Asian,63,4/10/1995,"$122,408 ",0%,United States,Miami,1
E02198,Ryan Reed,Vice President,Engineering,Specialty Products,Male,Latino,45,5/2/2004,"$78,251 ",35%,Brazil,Seattle,1
E02199,Grayson Hwang,Sr. Manager,Sales,Corporate,Male,Latino,33,10/28/2019,"$252,938 ",0%,Brazil,Rio de Janeiro,1
E02200,Ezra Tan,Quality Engineer,Sales,Corporate,Female,Asian,62,4/23/2013,"$90,296 ",0%,United States,Sao Paulo,1
E02201,David Ha,Vice President,Finance,Manufacturing,Male,Black,43,12/22/1999,"$91,689 ",12%,United States,Austin,1
E02202,Lillian Vang,Sr. Analyst,Finance,Corporate,Male,Asian,48,7/27/2022,"$158,028 ",0%,China,Austin,1
E02203,Sofia Zhang,Sr. Analyst,Sales,Corporate,Male,Asian,42,9/13/2015,"$89,759 ",0%,China,Chongqing,1
E02204,Athena Daniels,Sr. Manager,IT,Corporate,Male,Asian,49,1/11/2005,"$78,640 ",0%,China,Chengdu,1
E02205,Jameson Shin,Sr. Account Representative,Finance,Research & Development,Female,Asian,33,5/23/2021,"$55,368 ",0%,China,Chongqing,1
E02206,Everly Avila,Technical Architect,IT,Specialty Products,Female,Asian,39,5/14/2020,"$78,164 ",0%,United States,Chongqing,1
E02207,Liam Nelson,Analyst,Marketing,Specialty Products,Female,Caucasian,51,11/13/2015,"$76,014 ",0%,United States,Chicago,1
E02208,Theodore Lai,Network Administrator,Sales,Research & Development,Male,Asian,49,12/17/2010,"$61,403 ",0%,China,Seattle,1
E02212,Caroline Do,Sr. Analyst,IT,Manufacturing,Female,Latino,30,12/27/2008,"$80,720 ",0%,United States,Chengdu,1
E02215,Josiah Ramos,Account Representative,IT,Research & Development,Male,Black,41,3/6/2016,"$94,026 ",0%,United States,Miami,1
E02218,Colton Alexander,Technical Architect,Marketing,Specialty Products,Male,Asian,58,1/8/2014,"$56,963 ",6%,China,Columbus,1
E02219,Charles Ramos,System Administrator ,Finance,Research & Development,Female,Asian,55,8/9/2005,"$113,246 ",0%,United States,Shanghai,1
E02220,Ellie Wilson,Analyst,Engineering,Specialty Products,Male,Latino,40,4/4/2010,"$76,416 ",0%,United States,Chicago,1
E02221,Peyton Powell,Manager,Accounting,Research & Development,Male,Caucasian,41,8/31/1996,"$74,597 ",30%,United States,Chicago,1
E02222,Hailey Rojas,Field Engineer,IT,Corporate,Male,Latino,45,2/16/2003,"$164,102 ",0%,United States,Phoenix,1
E02223,Kai Singh,Sr. Analyst,IT,Manufacturing,Female,Caucasian,57,7/15/2014,"$74,431 ",0%,United States,Austin,1
E02224,Ryan Rivera,Director,Finance,Research & Development,Female,Caucasian,65,4/19/2001,"$43,378 ",0%,United States,Columbus,1
E02225,Everett Lu,System Administrator ,Finance,Specialty Products,Female,Latino,44,11/29/2001,"$47,587 ",16%,United States,Phoenix,1
E02226,Christopher Wang,Analyst,Human Resources,Corporate,Male,Asian,52,11/28/2021,"$179,983 ",6%,United States,Miami,1
E02227,Adrian Ngo,Analyst,Marketing,Specialty Products,Male,Latino,52,8/23/2020,"$115,565 ",0%,United States,Chicago,1
E02228,Hazel Cho,Director,IT,Research & Development,Male,Asian,53,9/19/2021,"$71,502 ",0%,United States,Phoenix,1
E02229,Iris Chung,Manager,IT,Manufacturing,Male,Asian,31,8/12/2004,"$85,716 ",40%,China,Phoenix,1
E02230,Thomas Rodriguez,Cloud Infrastructure Architect,Accounting,Research & Development,Male,Asian,27,3/12/2013,"$193,531 ",6%,China,Chongqing,1
E02231,Avery Lo,Enterprise Architect,IT,Corporate,Female,Asian,58,10/9/2019,"$128,301 ",0%,China,Chongqing,1
E02232,Gabriel Bell,Vice President,Finance,Research & Development,Female,Asian,63,1/26/2001,"$51,669 ",0%,China,Shanghai,1
E02233,Gianna Walker,Manager,Engineering,Manufacturing,Male,Latino,52,3/21/2021,"$104,289 ",0%,Brazil,Beijing,1
E02234,Axel Bailey,Analyst,IT,Research & Development,Female,Asian,36,3/23/2021,"$70,181 ",6%,United States,Rio de Janeiro,1
E02235,Scarlett Green,Automation Engineer,IT,Specialty Products,Male,Caucasian,47,12/7/2022,"$92,317 ",0%,United States,Seattle,1
E02236,Jackson Wong,Cloud Infrastructure Architect,Marketing,Corporate,Female,Caucasian,27,4/21/2020,"$99,382 ",0%,United States,Phoenix,1
E02237,Eva Jimenez,Computer Systems Manager,IT,Corporate,Male,Black,45,12/26/2006,"$67,702 ",0%,United States,Austin,1
E02238,Ian Ma,Sr. Analyst,Finance,Specialty Products,Female,Caucasian,47,4/13/1998,"$53,133 ",0%,United States,Chicago,1
